Word,Subject1,Subj1_Occurrences,Subject2,Subj2_Occurrences,Subject3,Subj3_Occurrences
spracovanie,6BM0024,3,6BA0015,1,6BI0033,1
ms,6BI0006,6,6UI0006,5,6BM0006,1
komponentov,6BI0040,6,6BA0003,3,6UI0005,1
správy,6BI0046,3,6UM0004,2,6BI0011,1
zdravému,6BT0001,1,-,0,-,0
hry,6BT0001,1,-,0,-,0
športovom,6BT0001,1,-,0,-,0
telesnej,6BT0001,1,-,0,-,0
pohybovej,6BT0001,1,-,0,-,0
bezpečnosť,6BI0026,2,6BI0028,2,6UI0012,2
uml,6BI0038,7,6UI0010,1,-,0
projektov,6BM0018,8,6BH0003,1,6BM0019,1
overenie,6BI0032,1,6BH0003,1,6BI0033,1
architektúra,6BI0039,2,6BI0046,1,6BI0003,1
limita,6BA0006,4,6BA0014,1,-,0
select,6BI0005,5,6BI0047,1,-,0
inštrukcie,6BI0039,7,-,0,-,0
tímovej,6BM0027,1,6BH0003,1,6BM0014,1
parciálne,6BA0006,2,6BA0013,2,6BA0001,1
zapúzdrenia,6BI0033,4,6BI0034,1,-,0
sieťových,6BI0034,2,6BI0027,2,6BI0052,2
windows,6BI0054,8,6BI0046,2,6BI0039,2
integrál,6BA0006,2,6BA0008,2,6BA0014,1
tlač,6BI0001,5,-,0,-,0
navrhovať,6BI0047,2,6BA0007,1,6BH0002,1
informácie,6BI0038,3,6BI0057,1,6BM0012,1
riadenia,6BM0021,2,6BM0010,2,6BM0025,1
sociológie,6BH0002,4,-,0,-,0
bmc,6BM0019,5,-,0,-,0
informatiky,6BH0003,3,6BA0009,1,6BA0013,1
diskrétna,6BA0013,3,6BA0008,2,6BA0005,1
sieti,6BI0052,2,6BI0028,2,6BI0034,1
dedičnosť,6BI0012,2,6BI0033,1,6BI0013,1
polymorfizmus,6BI0012,2,6BI0033,1,6BI0013,1
komunikačné,6BI0051,2,6UM0005,2,6UI0001,2
pc,6BI0040,5,6BI0018,1,6BJ0006,1
rozhodovanie,6BM0014,3,6UM0007,2,6BM0029,2
marketingu,6BM0002,6,6BM0011,3,6BM0019,1
softvéru,6BI0038,3,6UI0010,3,6UI0001,2
ekonomických,6BM0014,4,6BM0024,3,6BM0027,2
informatike,6BH0003,2,6BA0009,1,6BA0006,1
cyklus,6BI0011,2,6BI0032,1,6BI0003,1
ladenie,6BI0032,2,6BI0006,2,6BI0041,1
protokol,6BI0026,2,6BI0027,2,6BI0028,1
diagnostika,6BI0028,4,6BI0052,2,6BI0034,1
štatistika,6UA0002,3,6BA0013,2,6BM0006,1
štatistické,6BM0006,2,6BA0017,2,6BM0028,2
lyžovanie,6BT0007,2,-,0,-,0
ferraty,6BT0007,2,-,0,-,0
teréne,6BT0007,2,-,0,-,0
jazdy,6BT0007,2,-,0,-,0
biznis,6BM0020,3,6UI0010,2,6BM0019,1
python,6BI0037,4,6BI0021,2,6BI0045,1
geodát,6BI0024,5,6BI0023,1,-,0
osm,6BI0023,6,-,0,-,0
testovania,6BI0055,6,6UA0002,1,6BI0016,1
latexu,6UI0006,6,-,0,-,0
ekonomickej,6UM0002,3,6BM0027,1,6BM0003,1
počítačových,6BI0034,2,6BL0001,1,6BI0003,1
komponenty,6BI0046,2,6BI0018,1,6BI0007,1
spojitosť,6BA0006,3,6BA0014,1,-,0
vzorce,6UI0006,3,6BA0006,1,6UI0002,1
financií,6UM0004,2,6UM0007,2,6BM0019,1
klasifikácia,6BI0040,2,6UM0004,1,6BA0017,1
jazykové,6BJ0003,2,6BJ0004,2,6BJ0002,2
dynamické,6BI0013,2,6BI0021,2,6BA0004,1
digitálnych,6BI0007,5,6BI0020,2,-,0
prezentuje,6BM0027,1,6BJ0007,1,6UM0002,1
štatistických,6BM0027,2,6UA0002,2,6BI0047,1
odhady,6UA0002,3,6BA0009,1,6BM0006,1
algoritmus,6BI0032,2,6BI0033,1,6BM0028,1
systémoch,6UI0006,2,6BL0001,1,6BI0020,1
finančná,6BL0001,2,6UM0007,2,6BM0017,2
hospodárenia,6BM0017,3,6BL0001,2,6BM0004,2
smerovacích,6BI0027,3,6BI0034,1,6BI0026,1
operačných,6BI0035,4,6BI0046,3,6BI0008,3
extrémy,6BA0006,4,-,0,-,0
regresia,6BA0015,2,6UI0005,2,6BA0003,2
visual,6BI0006,2,6BI0054,2,6BI0016,2
mien,6BI0007,5,6BI0028,1,-,0
dokumentov,6UI0006,5,6UM0008,1,-,0
dane,6UM0004,4,6BM0027,1,-,0
matíc,6BA0001,3,6BA0011,1,-,0
matica,6BA0001,3,6BA0005,1,-,0
informatických,6BA0013,2,6BA0009,1,6BH0003,1
čísel,6BA0009,2,6BA0007,2,6UA0002,1
objektového,6BI0011,1,6BI0032,1,6BI0033,1
objektovej,6BI0012,2,6BI0011,1,6BI0038,1
príkazov,6BI0046,2,6BI0011,1,6UI0009,1
tíme,6BH0003,2,6BF0001,2,6UM0005,2
výpočty,6BA0005,2,6BL0001,1,6BA0007,1
výroba,6BL0001,2,6BM0014,2,6UM0003,1
literatúry,6BI0034,1,6UM0002,1,6BI0026,1
program,6BA0013,2,6BI0003,1,6BI0019,1
tlače,6BI0001,3,6UI0006,1,-,0
dáta,6BA0015,2,6BF0001,1,6BM0024,1
procesy,6BA0015,1,6BM0019,1,6UI0005,1
daní,6UM0004,5,-,0,-,0
aplikácia,6BI0055,2,6BI0047,1,6BI0023,1
suffixes,6BJ0005,2,6BJ0006,1,-,0
implementovať,6BI0026,1,6BM0014,1,6BI0027,1
sociológia,6BH0002,3,-,0,-,0
web,6BI0024,2,6BJ0006,1,6BI0023,1
simulácia,6BE0002,8,6UA0003,3,6BI0019,1
podnikové,6BM0003,3,6BM0017,3,6BI0053,2
qgis,6BI0023,3,6BI0024,2,-,0
údajových,6UI0004,4,6UI0009,2,6BI0042,1
analýze,6UI0002,2,6BM0027,1,6UA0002,1
transformácia,6UI0005,2,6BA0008,2,6BA0015,1
lineárneho,6BM0028,4,6BA0010,2,6BA0001,1
informačných,6BH0003,1,6BL0001,1,6BM0003,1
simulácie,6BA0013,2,6UA0003,2,6BI0008,1
majetková,6BL0001,2,6UM0007,2,6BM0017,2
architektúry,6BI0034,1,6BI0003,1,6BI0026,1
komunikačných,6BI0027,2,6BI0034,1,6BI0053,1
technológia,6BI0034,2,6BI0026,1,6UI0006,1
sieťovej,6BI0052,3,6BI0034,1,6BI0027,1
počítačové,6BA0013,2,6BI0023,1,6BI0024,1
používateľského,6BI0046,2,6BI0033,1,6BI0050,1
limity,6BA0014,2,6BA0006,1,-,0
finančného,6UM0007,3,6UM0001,1,6BI0007,1
komunikácii,6BJ0008,1,6BJ0005,1,6BJ0007,1
podnikateľských,6BM0020,2,6BM0019,1,6BM0011,1
is,6UI0001,9,6BJ0005,1,-,0
podnikov,6BM0017,2,6BM0024,1,6BM0003,1
logických,6BI0019,4,6BE0001,2,-,0
rozpočet,6UM0004,3,6BM0027,1,6BM0017,1
algebry,6BA0001,2,6BI0019,1,6BI0047,1
algebraické,6BA0001,2,6BA0014,1,-,0
vektory,6BA0001,1,6BA0013,1,6BA0014,1
programy,6BA0013,2,6BI0011,1,6BI0035,1
právne,6BM0017,4,6BH0003,1,6BM0003,1
objektové,6BI0032,2,6BI0048,1,6BI0021,1
pole,6BI0032,2,6BF0001,2,6BA0007,1
počítači,6BI0003,2,6BA0005,1,6BA0011,1
reprezentácia,6BA0002,1,6BI0003,1,6UI0004,1
plán,6BI0034,1,6BL0001,1,6BM0017,1
ipv,6BI0034,2,6BI0026,1,6BI0037,1
rozhraním,6BI0046,1,6BI0033,1,6BI0048,1
sieťová,6BI0018,1,6BI0026,1,6BI0037,1
konvergencia,6BA0011,2,6BA0006,1,6BA0007,1
derivácií,6BA0006,2,6BA0014,1,-,0
technické,6BI0040,2,6BI0001,1,6BI0035,1
diferenciálnych,6BA0007,2,6BA0008,2,6BA0011,1
sociálne,6BH0002,2,6BM0002,2,6BM0012,1
online,6BM0002,3,6BJ0008,1,6BJ0006,1
tabuliek,6BI0006,2,6UI0006,2,6BI0047,1
knižnice,6BI0047,2,6BI0037,2,6BI0045,1
dátový,6BI0005,2,6BI0047,1,6BI0013,1
jazyk,6UI0012,3,6BI0047,1,6BI0041,1
číslicových,6BI0003,4,6BI0019,1,6BI0020,1
optimalizačné,6BA0004,3,6BA0010,2,6BA0011,1
obvodov,6BI0036,3,6BI0043,3,6BE0004,3
testov,6BI0055,6,6UI0010,1,-,0
politika,6BM0027,1,6UM0002,1,6BH0002,1
vektorového,6BA0001,3,-,0,-,0
polynómy,6BA0001,2,6BA0013,1,-,0
determinantu,6BA0001,3,-,0,-,0
objektovo,6BI0011,1,6BI0032,1,6BI0038,1
atribúty,6BI0032,2,6BI0011,1,-,0
konštruktory,6BI0013,2,6BI0011,1,-,0
postupnosť,6BI0011,1,6BA0012,1,6BA0013,1
asociácia,6BI0011,1,6BI0032,1,6BI0013,1
technológií,6BI0053,3,6BH0003,1,6BA0008,1
nerovnice,6BA0012,3,-,0,-,0
preťažovanie,6BI0013,2,6BI0032,1,-,0
plánovania,6UM0008,2,6BA0002,1,6BI0057,1
programu,6BI0012,1,6BM0012,1,6BI0039,1
ošetrovanie,6BI0033,1,6BI0012,1,6BI0013,1
internetu,6UI0007,5,6BI0034,1,6BI0027,1
ethernet,6BI0034,3,-,0,-,0
icmpv,6BI0034,3,-,0,-,0
náhodná,6UA0002,2,6BA0015,1,6BM0006,1
procesora,6BI0039,2,6BA0013,1,6BI0003,1
výnimiek,6BI0033,2,6BI0013,1,-,0
integrály,6BA0007,2,6BA0006,1,6BA0008,1
tlačiarni,6BI0001,3,-,0,-,0
diskusia,6BI0001,1,6BH0002,1,6BM0001,1
procesom,6UI0010,2,6BI0001,1,6BM0022,1
finančné,6UM0007,2,6UM0001,1,6BM0020,1
kapitálu,6UM0007,4,-,0,-,0
plánovanie,6UM0003,2,6BI0035,2,6UM0008,2
softvérové,6BA0010,2,6BM0003,1,6BI0027,1
business,6BM0003,2,6BJ0005,1,6BM0024,1
tenses,6BJ0005,2,6BJ0001,1,6BJ0002,1
geografických,6BI0024,2,6BI0023,2,-,0
geoserver,6BI0024,3,6BI0023,1,-,0
dml,6BI0005,3,-,0,-,0
java,6BI0041,2,6BI0021,2,-,0
rastrových,6BI0024,4,-,0,-,0
office,6UI0006,4,-,0,-,0
libreoffice,6UI0006,4,-,0,-,0
latex,6UI0006,4,-,0,-,0
kreslenie,6UI0006,4,-,0,-,0
sadzba,6UI0006,4,-,0,-,0
aritmetika,6BA0001,1,6BA0009,1,6BI0039,1
vektorov,6BA0001,2,6BA0011,1,-,0
závislosť,6BA0001,1,6BI0012,1,6UA0002,1
počítanie,6BA0009,1,6BA0012,1,6BA0006,1
údajové,6UI0009,2,6BI0032,1,6UI0004,1
náhodných,6BA0005,2,6BA0013,1,6BA0015,1
generiká,6BI0033,1,6BI0012,1,6BI0016,1
prezentácia,6BL0001,1,6BI0047,1,6BM0007,1
tcpip,6BI0034,2,6BI0026,1,-,0
zabezpečenie,6BI0034,1,6BI0026,1,6BM0003,1
súborov,6BI0046,1,6BA0015,1,6BI0034,1
premenná,6UA0002,2,6BA0013,1,6BM0006,1
grafického,6BI0046,2,6BI0033,1,6BI0050,1
operačný,6BI0046,2,6BI0018,1,6BI0009,1
open,6BI0018,2,6UI0006,1,-,0
source,6BI0018,2,6UI0006,1,-,0
automatizácia,6BI0027,2,6BI0046,1,6BI0055,1
diferenciálneho,6BA0006,2,6BA0007,1,-,0
určitého,6BA0006,2,6BA0007,1,-,0
integrálu,6BA0006,2,6BA0007,1,-,0
numerické,6BA0007,2,6BA0004,1,6BA0011,1
charakteristika,6UM0007,1,6UM0001,1,6UM0008,1
kontrola,6BM0018,1,6BH0002,1,6UM0007,1
sociálnej,6BH0002,2,6BU0001,1,-,0
manažéra,6UM0008,3,6BI0047,1,6BM0014,1
marketing,6BM0012,3,6BM0002,2,6BU0001,1
populárnovedeckých,6BJ0007,1,6BJ0008,1,6BJ0005,1
speech,6BJ0005,2,6BJ0001,1,-,0
história,6BI0007,1,6BI0003,1,6BH0002,1
procedúry,6BI0005,2,6BI0039,1,-,0
matematiky,6BA0009,2,6BA0012,1,-,0
alokácia,6UM0007,2,6BH0003,1,-,0
riadiacich,6BI0032,1,6BI0001,1,6BM0010,1
logické,6BE0001,2,6BI0032,1,6BI0020,1
cykly,6BI0032,1,6BI0039,1,6BI0047,1
diskrétne,6BA0005,3,6BA0015,1,-,0
balíčkov,6BI0018,1,6BI0012,1,6BI0047,1
manažérske,6BL0001,1,6BM0025,1,6BM0021,1
majetok,6UM0001,2,6BL0001,1,6BM0003,1
sieť,6BI0034,1,6BI0026,1,6BI0053,1
zabezpečenia,6BI0034,1,6BI0007,1,6BM0024,1
wifi,6BI0053,3,6BI0034,1,6BI0026,1
dns,6BI0028,3,6BI0034,1,6BI0037,1
príkazový,6BI0046,2,6BI0018,1,-,0
pohybu,6BT0007,1,6BF0001,1,-,0
grafickým,6BI0046,1,6BI0050,1,6UI0006,1
modelovania,6BI0001,2,6BI0008,1,6UA0003,1
vstavaných,6BI0051,3,6UI0009,3,6BI0022,1
pripojenie,6BI0027,2,6BI0051,1,6BI0048,1
podsystém,6BI0040,3,6BI0051,1,6BI0003,1
komplexných,6BA0007,2,6UA0003,2,6BA0008,1
účtovníctva,6UM0001,4,6BM0004,1,6BM0024,1
účtovné,6UM0001,5,-,0,-,0
finančný,6UM0007,3,6UM0003,1,-,0
it,6BM0018,8,6UI0007,1,6UI0001,1
kvality,6BM0018,3,6BM0021,2,6BI0027,1
výpočtové,6BA0014,1,6BI0043,1,6BI0036,1
presentations,6BJ0005,2,-,0,-,0
numbers,6BJ0006,1,6BJ0005,1,-,0
graphs,6BJ0006,1,6BJ0005,1,-,0
sociologického,6BH0002,2,-,0,-,0
kultúra,6BH0002,2,-,0,-,0
prednesenie,6BH0002,2,-,0,-,0
diskusie,6BH0002,2,-,0,-,0
pamäti,6UI0004,2,6BI0039,1,6UI0009,1
implicitné,6UI0004,2,6BI0013,1,-,0
agregácia,6BI0026,2,6BI0013,1,-,0
virtuálne,6BI0045,1,6BI0026,1,6BI0052,1
manažmente,6UM0008,9,6UM0003,1,-,0
